Direction;Year;Date;Weekday;Country;Commodity;Transport_Mode;Measure;Value;Cumulative
Exports;2015;1/1/2015;Thursday;All;All;All;$;104000000;104000000
Exports;2015;1/2/2015;Friday;All;All;All;$;96000000;200000000
Exports;2015;1/3/2015;Saturday;All;All;All;$;61000000;262000000
Exports;2015;1/4/2015;Sunday;All;All;All;$;74000000;336000000
Exports;2015;1/5/2015;Monday;All;All;All;$;105000000;442000000
Exports;2015;1/6/2015;Tuesday;All;All;All;$;76000000;518000000
Exports;2015;1/7/2015;Wednesday;All;All;All;$;59000000;577000000
Exports;2015;1/8/2015;Thursday;All;All;All;$;111000000;688000000
Exports;2015;1/9/2015;Friday;All;All;All;$;98000000;786000000
Exports;2015;1/10/2015;Saturday;All;All;All;$;89000000;875000000
Exports;2015;1/11/2015;Sunday;All;All;All;$;111000000;986000000
Exports;2015;1/12/2015;Monday;All;All;All;$;161000000;1147000000
Exports;2015;1/13/2015;Tuesday;All;All;All;$;96000000;1242000000
Exports;2015;1/14/2015;Wednesday;All;All;All;$;83000000;1325000000
Exports;2015;1/15/2015;Thursday;All;All;All;$;109000000;1434000000
Exports;2015;1/16/2015;Friday;All;All;All;$;155000000;1589000000
Exports;2015;1/17/2015;Saturday;All;All;All;$;168000000;1757000000
Exports;2015;1/18/2015;Sunday;All;All;All;$;90000000;1847000000
Exports;2015;1/19/2015;Monday;All;All;All;$;164000000;2011000000
Exports;2015;1/20/2015;Tuesday;All;All;All;$;134000000;2145000000
Exports;2015;1/21/2015;Wednesday;All;All;All;$;76000000;2221000000
Exports;2015;1/22/2015;Thursday;All;All;All;$;164000000;2385000000
Exports;2015;1/23/2015;Friday;All;All;All;$;139000000;2525000000
Exports;2015;1/24/2015;Saturday;All;All;All;$;170000000;2695000000
Exports;2015;1/25/2015;Sunday;All;All;All;$;119000000;2814000000
Exports;2015;1/26/2015;Monday;All;All;All;$;150000000;2965000000
Exports;2015;1/27/2015;Tuesday;All;All;All;$;106000000;3071000000
Exports;2015;1/28/2015;Wednesday;All;All;All;$;95000000;3165000000
Exports;2015;1/29/2015;Thursday;All;All;All;$;133000000;3299000000
Exports;2015;1/30/2015;Friday;All;All;All;$;125000000;3423000000
Exports;2015;1/31/2015;Saturday;All;All;All;$;257000000;3681000000
Exports;2015;2/1/2015;Sunday;All;All;All;$;123000000;3804000000
Exports;2015;2/2/2015;Monday;All;All;All;$;176000000;3980000000
Exports;2015;2/3/2015;Tuesday;All;All;All;$;115000000;4094000000
Exports;2015;2/4/2015;Wednesday;All;All;All;$;74000000;4169000000
Exports;2015;2/5/2015;Thursday;All;All;All;$;119000000;4288000000
Exports;2015;2/6/2015;Friday;All;All;All;$;127000000;4415000000
Exports;2015;2/7/2015;Saturday;All;All;All;$;206000000;4621000000
Exports;2015;2/8/2015;Sunday;All;All;All;$;114000000;4735000000
Exports;2015;2/9/2015;Monday;All;All;All;$;202000000;4937000000
Exports;2015;2/10/2015;Tuesday;All;All;All;$;88000000;5025000000
Exports;2015;2/11/2015;Wednesday;All;All;All;$;67000000;5092000000
Exports;2015;2/12/2015;Thursday;All;All;All;$;132000000;5224000000
Exports;2015;2/13/2015;Friday;All;All;All;$;143000000;5367000000
Exports;2015;2/14/2015;Saturday;All;All;All;$;146000000;5513000000
Exports;2015;2/15/2015;Sunday;All;All;All;$;111000000;5624000000
Exports;2015;2/16/2015;Monday;All;All;All;$;226000000;5851000000
Exports;2015;2/17/2015;Tuesday;All;All;All;$;171000000;6022000000
Exports;2015;2/18/2015;Wednesday;All;All;All;$;120000000;6142000000
Exports;2015;2/19/2015;Thursday;All;All;All;$;157000000;6299000000
Exports;2015;2/20/2015;Friday;All;All;All;$;157000000;6456000000
Exports;2015;2/21/2015;Saturday;All;All;All;$;184000000;6640000000
Exports;2015;2/22/2015;Sunday;All;All;All;$;135000000;6775000000
Exports;2015;2/23/2015;Monday;All;All;All;$;185000000;6960000000
Exports;2015;2/24/2015;Tuesday;All;All;All;$;94000000;7054000000
Exports;2015;2/25/2015;Wednesday;All;All;All;$;113000000;7166000000
Exports;2015;2/26/2015;Thursday;All;All;All;$;130000000;7297000000
Exports;2015;2/27/2015;Friday;All;All;All;$;127000000;7423000000
Exports;2015;2/28/2015;Saturday;All;All;All;$;145000000;7568000000
Exports;2015;3/1/2015;Sunday;All;All;All;$;386000000;7954000000
Exports;2015;3/2/2015;Monday;All;All;All;$;219000000;8173000000
Exports;2015;3/3/2015;Tuesday;All;All;All;$;163000000;8337000000
Exports;2015;3/4/2015;Wednesday;All;All;All;$;125000000;8462000000
Exports;2015;3/5/2015;Thursday;All;All;All;$;158000000;8621000000
Exports;2015;3/6/2015;Friday;All;All;All;$;153000000;8774000000
Exports;2015;3/7/2015;Saturday;All;All;All;$;174000000;8948000000
Exports;2015;3/8/2015;Sunday;All;All;All;$;112000000;9060000000
Exports;2015;3/9/2015;Monday;All;All;All;$;209000000;9269000000
Exports;2015;3/10/2015;Tuesday;All;All;All;$;118000000;9387000000
Exports;2015;3/11/2015;Wednesday;All;All;All;$;85000000;9473000000
Exports;2015;3/12/2015;Thursday;All;All;All;$;160000000;9633000000
Exports;2015;3/13/2015;Friday;All;All;All;$;130000000;9762000000
Exports;2015;3/14/2015;Saturday;All;All;All;$;100000000;9863000000
Exports;2015;3/15/2015;Sunday;All;All;All;$;133000000;9996000000
Exports;2015;3/16/2015;Monday;All;All;All;$;213000000;10210000000
Exports;2015;3/17/2015;Tuesday;All;All;All;$;109000000;10318000000
Exports;2015;3/18/2015;Wednesday;All;All;All;$;116000000;10435000000
Exports;2015;3/19/2015;Thursday;All;All;All;$;164000000;10598000000
Exports;2015;3/20/2015;Friday;All;All;All;$;131000000;10729000000
Exports;2015;3/21/2015;Saturday;All;All;All;$;197000000;10927000000
Exports;2015;3/22/2015;Sunday;All;All;All;$;146000000;11073000000
Exports;2015;3/23/2015;Monday;All;All;All;$;175000000;11247000000
Exports;2015;3/24/2015;Tuesday;All;All;All;$;130000000;11377000000
Exports;2015;3/25/2015;Wednesday;All;All;All;$;74000000;11452000000
Exports;2015;3/26/2015;Thursday;All;All;All;$;219000000;11671000000
Exports;2015;3/27/2015;Friday;All;All;All;$;117000000;11787000000
Exports;2015;3/28/2015;Saturday;All;All;All;$;165000000;11952000000
Exports;2015;3/29/2015;Sunday;All;All;All;$;140000000;12092000000
Exports;2015;3/30/2015;Monday;All;All;All;$;220000000;12312000000
Exports;2015;3/31/2015;Tuesday;All;All;All;$;161000000;12473000000
Exports;2015;4/1/2015;Wednesday;All;All;All;$;82000000;12555000000
Exports;2015;4/2/2015;Thursday;All;All;All;$;137000000;12692000000
Exports;2015;4/3/2015;Friday;All;All;All;$;158000000;12850000000
Exports;2015;4/4/2015;Saturday;All;All;All;$;192000000;13042000000
Exports;2015;4/5/2015;Sunday;All;All;All;$;153000000;13195000000
Exports;2015;4/6/2015;Monday;All;All;All;$;206000000;13401000000
Exports;2015;4/7/2015;Tuesday;All;All;All;$;108000000;13509000000
Exports;2015;4/8/2015;Wednesday;All;All;All;$;81000000;13590000000
